title,text,subject, date
Comelec affirms cancellation of An Waray party-list,"The Commission on Elections (Comelec) on Monday affirmed the cancellation of the registration of An Waray party-list.In a 28-page resolution, the Comelec en banc denied the motion for reconsideration filed by the party for utter lack of merit and affirmed the resolution of the Second Division.

“We rule in the negative. We affirm the Second Division’s Resolution cancelling the registration of the An Waray Party-List,” Comelec said.

“Considering that An Waray is entitled to one seat only and that its Second Nominee clearly committed a violation of electoral laws, the cancellation of registration of An Waray Party-list is proper,” it later added.

The Second Division earlier canceled the registration of the An Waray party-list for allowing a second nominee, Isabel Noel, to sit as a member of Congress without the proper authority.This led the party-list to file a motion for reconsideration, arguing that in the party-list system,  the candidate is the organization itself and what is being proclaimed is the party and not its nominee.


They said that a separate proclamation of a nominee is not material nor required for the particular nominee to take an oath and assume office as a member of the House of Representatives.

However, the Comelec en banc said there is uncontroverted substantial evidence showing that the party-list violated electoral laws.",News,"August 14, 2023"
"Senate OKs bill renaming BIR, Agham roads in QC after Miriam Defensor-Santiago","The Senate on Monday approved a bill renaming Agham Road and BIR Road in Quezon City to Senator Miriam Defensor-Santiago Avenue.House Bill 7413 garnered 22 affirmative votes, zero negative votes and zero abstention.

All senators were made co-authors of the measure.

The roadway is currently named Agham Road from North Avenue to Quezon Avenue, which bisects it, and BIR Road from Quezon Avenue to East Avenue.

Under the bill, the Department of Public Works and Highways shall issue the necessary rules, orders, and circulars to implement the provisions of the proposed law within 60 days from its effectivity.The proposed law shall take effect 15 days after its publication in the Official Gazette or in a newspaper of general circulation.
",News,"August 14, 2023"
Zubiri to vote in favor of ‘modified’ ROTC program bill,"Senate President Juan Miguel Zubiri will vote in favor of the bill reinstating the Reserve Officers’ Training Corps program, adding that the upper chamber will legislate a “modified” program that will “suit modern-day training.” In a television interview, Zubiri shared that he also went through the ROTC program and learned a lot from it despite being tagged as “tisoy na anak mayaman (a rich kid with good looks).”“Dumaan din ako sa putik, dumaan din ako sa martsa (I'd experienced mud and marches) and it grounded me and I think I learned a lot from that experience and it made me a better person,” Zubiri said in an ANC interview.

“So if you’re gonna ask me…my personal vote is ‘yes.’ I will vote in favor of ROTC,” he added.

While he was a principal author of the National Service Training Program Law, Zubiri admitted that it has “many loopholes.”",News,"August 14, 2023"
Comelec urges conspiracy raps vs. persons behind nuisance candidates,"Commission on Elections Chairman George Garcia on Monday proposed the filing of conspiracy complaints against those who will coax and fund nuisance candidates into running for office.Garcia said this is on top of criminal charges and perpetual disqualification of nuisance candidates and their sponsors.

He said criminalization, the threat of perpetual disqualification, and a charge of conspiracy in the act of filing the nuisance candidacy are deterrents not just to nuisance candidates but also their principals.

“Meron talagang nagpapabayad because of the similarity of their names. ‘Yun lang po ang makakapigil sa kanila ang perpetual disqualification and criminalization of the act of filing as a nuisance candidate,” Garcia said.

During the Senate investigation into the death of late former Negros Oriental Ruel Degamo, Garcia proposed three to six years imprisonment or P500,000 fine to any person who is found to be a nuisance candidate",News,"August 7, 2023"
Comelec seeks addt’l qualifications to ensure party-list nominees come from marginalized sector,"Commission on Elections chairperson George Garcia on Monday suggested that a Senate panel put additional qualifications to ensure that party-list nominees are true members of marginalized sectors.“Ang puwede po nating gawin sa bill maglalagay tayo ng qualification of being nominees. Dadagdagan po natin ang qualification. Hindi naman po siya violation [of the 1987 Constitution] because that’s not [pertaining to the] qualification of members of the House of Representatives but qualifications of nominees of that particular sector or party,” Garcia said during a Senate hearing.

[What we can do with the bill is to put qualification of being nominees. We will put additional qualifications. It is not a violation since that’s not pertaining to the qualification of members of the House of Representatives but qualifications of nominees of that particular sector or party.]

Garcia  made the proposal as the Senate electoral reforms and people’s participation panel tackled two bills seeking to reform the party-list system in the country.

The bills filed by Senate panel chairperson Imee Marcos and Senator Ronald “Bato” dela Rosa seek to ensure that the nominees of the party-list organizations are members of the sector that they want to represent.",News,"August 7, 2023"
DBM: Marcos’ P1.4-B proposed budget for trips ‘justified’,"Budget Secretary Amenah Pangandaman on Thursday said that the more than P1.4 billion allocation for the Office of the President's local and foreign missions as well as state visits for next year is justified.At a Palace briefing, Pangandaman was asked about the increase in the budget for President Ferdinand ""Bongbong"" Marcos Jr.'s foreign trips for 2024.She said there is nothing wrong with the proposed P1,408,894,000 for these trips, especially if these will be beneficial for the country.

""'Yung travel po ng Presidente, dalawa pong klase 'yan (There are two types of travels of the President). Mayroon pong state visit that they invite you and then meron din po 'yung mga investment roadshow. When I was asked previously po doon sa SONA kung ano po sa tingin ko ang nagawa this administration in such a short time, I think to bring us back to the map of a investment hub and opportunity for other countries,"" Pangandaman said.

""Kami po hindi lang ang Presidente, even the economic managers, if you will notice po, we've been going out of the country to present the Philippines as an investment hub po so I think 'yung expenses po ng travel as long as it will be beneficial and mas may advantage po para sa bansa natin, I think okay lang po 'yun, it's justified (I think the travel expenses as long as it will be beneficial and advantageous for the country, it's okay and it's justified.),"" she added.",News,"August 3, 2023"
EU President Von Der Leyen in Malacañang for bilateral talk with Marcos,"European Commission President Ursula von der Leyen arrived at the Malacañan Palace on Monday to have a bilateral meeting with President Ferdinand ""Bongbong"" Marcos Jr.To recall, Marcos met the EU leader during the EU-ASEAN Commemorative Summit in December 2022 in Brussels, Belgium.

Von Der Leyen's visit is expected to ""give a new impetus to the EU-Philippines bilateral relations and engage in discussions on matters of mutual interest, in particular in the ears of trade, the green and digital transition and security.”


The two leaders will discuss trade, investment, and Global Gateway cooperation and the EU’s Global Gateway Strategy",News,"July 31, 2023"
"Comelec to BSKE bets: Posting materials, shaking hands before Oct. 19 considered premature campaigning","Commission on Elections (Comelec) chairperson George Garcia on Wednesday warned all who will run in the 2023 Barangay and Sangguniang Kabataan Elections (BSKE) against premature campaigning.During the Kapihan sa Manila Bay forum, Garcia said those who will file their certificates of candidacy (COC) from August 28 to September 2 will already be considered as candidates.

“Kaya po ‘pag file ng candidacy, lahat ng posters na meron kayo na naglipana sa lahat ng kalsada, kalye, kanto, dapat tanggalin. Kung hindi, kakasuhan namin kayo, at the same time, tatanggalin namin yan [at] pwede rin kayo ma-disqualify,” he warned.

[Once you filed your candidacy, all your posters plastered around should be removed. If not, we will file a case against you and at the same time, we will remove them and you may even be disqualified.] 

“Dahil kandidato na kayo, applicable pa ang Section 80 ng Omnibus Election Code, ‘yung tinatawag na premature campaigning,” he added.",News,"July 26, 2023"
Comelec to submit draft bill on new Election Code to Congress by year end,"The Commission on Elections (Comelec) is eyeing to submit a 964-page draft bill on the new Omnibus Election Code to Congress before the end of the year, Comelec chairperson George Garcia said Wednesday.Garcia disclosed this during the Kapihan sa Manila Bay forum as he discussed the need to strengthen their authority to arrest those who violate election laws, particularly those who have multiple registrations and those who are involved in vote-buying and vote-selling.

“That’s why the Comelec is proposing the revision of the entire Omnibus Election Code. Meron po kaming 964 pages na,” Garcia said.

He said there are draft bills already in the Senate and the House of Representatives, but the Comelec’s version had incorporated all the proposed revisions to the OEC.",News,"July 26, 2023"
"Band-aid solutions or real ones? Opposition, admin solons differ on SONA substance","Opposition leaders on Monday said that President Ferdinand ""Bongbong"" Marcos, Jr.’s second State of the Nation Address (SONA) lacked substance, but pro-administration lawmakers felt otherwise.“It lacks substance because he even mentioned the lower cost of oil when, in fact, there is an oil price hike tomorrow and oil prices have been increasing since January. He also did not mention about increasing the salary of workers  and the teachers,” House Deputy Minority Leader and ACT Teachers Representative France Castro said.

Pump prices will go up again on Tuesday, the second straight week of increases for gasoline and the third for both diesel and kerosene.

“Puro ampaw na pagmamalaki sa mga ni-rebrand na mga lumang proyekto ng kanyang amang diktador tulad ng paggamit sa 'Maharlika,' 'Kadiwa,' 'Bagong Pilipinas' at iba pa pero kulang naman sa mga mga hakbang sa mga pangunahing kahilingan ng mamamayan tulad ng pagpapababa sa presyo ng mga serbisyo at bilihin, pagtaas ng sahod, at iba pa. Band-aid solutions for these problems won't do,” Castro added, referring to some of the administration's most high-profile projects, including the Maharlika Investment Fund, which the President signed into law last week.

At his SONA, Marcos vowed that the controversial wealth fund will be free of ""political influence.""",News,"July 24, 2023"
Marcos vows efficient PhilHealth for Filipinos,"President Ferdinand ""Bongbong"" Marcos Jr. on Monday said PhilHealth should provide better healthcare services for Filipinos.""We are working towards a more direct and efficient delivery of services, through integrated primary care providers and networks, in partnership with the LGUs and private sector. These shall of course be supported by what is now a better and more efficient PhilHealth,"" Marcos said in his second State of the Nation Address.

The President said all Filipinos would soon be provided with healthcare services given that more than 93 percent of Filipinos are already members of the state insurer.

""Palapit nang palapit na tayo sa hangarin na ang lahat ng Pilipino ay makakakuha ng serbisyong-pangkalusugan. Sa ngayon, mahigit 93 percent na ang kasapi sa PhilHealth,"" Marcos said.


Marcos said that under the Konsulta Package of PhilHealth, at least 21 medicines and 13 laboratory services are being provided for patients for free.",News,"July 24, 2023"
Comelec approves TOR for 2025 automated election system,"The Commission on Elections (Comelec) has approved the terms of reference (TOR) for the new and fully automated elections system (AES), which will be used starting with the 2025 National and Local Elections (NLE).In a statement released by Comelec spokesperson Rex Laudiangco, the Fully Automated System with Transparency Audit and Count (FASTrAC), which was first unveiled in May, was approved by the Comelec en banc on July 19.

According to the Comelec, FASTrAC is an upgraded optical mark reader (OMR) paper-based automated elections system with Direct Recording Electronic (DRE) capabilities.

The system features the Automated Counting Machine (ACM), which is intended to replace the more than 90,000 vote counting machines (VCM) used in the 2016 and 2019 elections.

Under the approved TOR, FASTrAC will have the following features:-Precinct-based upgraded paper-based AES but with DRE capabilities, which still utilizes a paper ballot.

-Election results shall be sent separately and directly from the ACM to the Kapisanan ng mga Brodkaster ng Pilipinas, dominant majority party, dominant minority party, and citizens arm servers.

-The ballot box shall include a separate box for the Voter Verifiable Paper Audit Trail or voter’s receipts

-Requirement for faster scanning of ballots at a speed of at least 200 mm per second

-Higher resolution of ballot scanning, with a resolution of 300 dots per inch and at least an 8-bit JPEG image

-Larger size of screen display of at least 12 inches diagonal and a minimum screen resolution of at least 1920x1080, with a privacy screen feature

-After closing of polls, printing of Election Returns, and transmission of results, the ACM shall be able to allow transparency in the count of votes in the following manner:


*All ballot images (back and front) are read to be displayed on the screen, one by one, and the votes obtained by each candidate are added after the display of each ballot image

*Allow scanning of VVPAT QR code (winning bidder shall provide a QR code scanner) one by one, displaying in the screen and adding the votes obtained by each candidate

Laudiangco said bidders must meet the requirements stated in the TOR, and the Comelec will accept public bids for lease with an option to purchase, in connection with the 2025 polls and other electoral exercises.

Further, the Comelec en banc approved the reorganization and renaming of the Campaign Finance Office into the Political Finance and Affairs Department (PFAD).

PFAD will be divided into three divisions: the Party Affairs and Registry Division, the Campaign Finance Division, and the Legal Compliance Division.

Laudiangco said this will be the primary office responsible for the enforcement and implementation of all administrative regulations and legislative measures pertaining to electoral parties and campaign finance, as well as serving as the registration office for the proprietary rights of accredited political parties.

PFAD is likewise empowered to initiate complaints against violators of laws pertaining to campaign finance and electoral parties, as well as petitions for perpetual disqualification to hold public office, and to conduct fact-finding inquiries or preliminary  examinations as may be directed by the Comelec. 

It will also have the power to monitor the fundraising and spending activities of candidates and electoral parties, conduct field inspections at the headquarters/offices and open the books and records of electoral parties.

""As Comelec puts a premium on transparency and accountability, PFAD will also ensure that the constitutional right of the people to information on matters of public concern will likewise be strengthened. By strengthening the electoral parties and encouraging them to adopt transparency in their financial status and activities, they shall be held accountable to the electorate,"" Laudiangco said. ",News,"July 21, 2023"
"Ex-VP Leni declined invitation to SONA 2023, says House sec-gen","Former Vice President Leni Robredo has been invited to attend President Ferdinand Marcos, Jr.’s second State of the Nation Address (SONA) on Monday, July 24, but she declined.House Secretary General Reginald Velasco, however, did not elaborate as regards Robredo's reason for begging off.

GMA News Online has reached out to Robredo’s camp as to why she won’t make it to the President's annual address before a joint session of Congress.

Other VIPs who were invited to attend SONA 2023 include former President Rodrigo Duterte, ex-President and House Deputy Speaker Gloria Arroyo, and former President Joseph Estrada.",News,"July 19, 2023"
"SC affirms dismissal of P1.05-B ill-gotten wealth case vs Marcos Sr., others","The Supreme Court (SC) has affirmed the dismissal of the forfeiture case against the late President Ferdinand Marcos Sr., his wife, Imelda, and several others, involving P1.05 billion in alleged ill-gotten wealth.In a decision promulgated on March 29, the SC First Division denied a petition seeking to reverse the Sandiganbayan’s decision that dismissed the complaint against Marcos, Imelda, Bienvenido Tantoco Jr., Bienvenido Tantoco Sr., Gliceria Tantoco, Maria Lourdes Tantoco-Pineda, and Dominador Santiago, for insufficiency of evidence.

“While it is truly disappointing that nothing has come of this case despite the lapse of 36 years spent in litigation, the Court agrees with the Sandiganbayan that petitioner’s evidence is insufficient to support the allegations of its expanded complaint by preponderance of evidence,” the Court said through Associate Justice Ricardo Rosario.

In 1987, the Presidential Commission on Good Government (PCGG) filed a complaint for reconveyance, reversion, accounting, restitution, and damages against the respondents.",News,"July 19, 2023"
Groups hold protests after Maharlika Investment Fund bill signed into law,"Several groups staged rallies as they protested the signing of Maharlika Investment Fund (MIF) bill into law on Tuesday.Kabataan Party-list and its supporters gathered in Mendiola as they lamented that the P500 billion fund for MIF should have been allocated to education, agriculture, and health instead, calling the MIF a “scam”.

“Nagtipon-tipon ang mga kabataan sa Mendiola upang tutulan ang pagpirma ni [President Ferdinand “Bongbong” Marcos Jr.] sa Maharlika Investment Fund,” it said in a Facebook post.

(The youth sector gathered in Mendiola to oppose the signing of the MIF by Marcos.)

“Minadali ni Marcos Jr. ang pagpirma nito upang makapagnakaw pa ng mas malaking pondo at isugal ang 500 bilyon na pondo ng ating bansa kaysa ilaan ito sa edukasyon, agrikultura, kalusugan, at iba pang pangangailangan ng mga Pilipino,” it added.",News,"July 18, 2023"
BARMM leaders ask SC to nullify Bangsamoro Electoral Code provisions,"ifteen public officials and representatives from political parties and organizations from the Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) asked the Supreme Court to nullify and void several Bangsamoro Electoral Code (BEC) provisions. In their 64-page petition, the leaders argued that the BEC was issued by the Bangsamoro Transition Authority (BTA) and was signed by BARMM Interim Chief Minister Ahod Balawag with “grave abuse of discretion amounting to lack or excess of jurisdiction” and for violation of the Constitution and existing rules.

“It violated the constitutional guarantee on equal protection of the laws and equal access to opportunities for public service. It even infringed upon the powers and jurisdiction exclusively vested by the Constitution upon the Commission on Elections (Comelec) over the administration of election laws,” the petition read.",News,"June 18, 2023"
Marcos OK’d pilot run of food stamp program — DSWD’s Gatchalian,"President Ferdinand ""Bongbong"" Marcos Jr. has approved the pilot run and the implementation of the government's food stamp program.This was announced by Department of Social Welfare and Development (DSWD) Secretary Rex Gatchalian during a Palace press briefing on Tuesday.

""The President approved the run of the pilot, which is fully-funded through grants... grants from the ADB (Asian Development Bank), JICA (Japan International Cooperation Agency) and the French Development Agency. So that will be $3 million all in all,"" Gatchalian said.

""There is a provision to expand it. ADB is still working on other trust funds so that we could expand the pilot. But other than that, it's all green lights go na for the pilot which will take place shortly,"" he added.

Gatchalian said the President wants to include single parent, the pregnant and lactating mothers in the program to also address the stunting problem in the country.",News,"June 13, 2023"
SWS: Sara Duterte tops commissioned poll on Marcos’ best successor,"Vice President Sara Duterte topped a commissioned SWS survey on who would best to succeed President Ferdinand Marcos Jr. in 2028.The results of the survey that the SWS conducted for former LPGMA party-list Rep. Arney Ty showed Duterte topped the poll with 28%.

However, those who had no answer, didn't know, or refused to respond comprised 41% of the respondents.

Senator Raffy Tulfo followed with 11% and former Vice President Leni Robredo with six percent.",News,"June 12, 2023"
Comelec to pilot mall voting for barangay polls in 15 sites,"The Commission on Elections (Comelec) is set to conduct the pilot test of mall voting for the 2023 Barangay and Sangguniang Kabataan Elections (BSKE) in 15 malls around the country.The selected malls are in Metro Manila, Region IV-A, Region V and Region VII, the poll body said.

“The Education and Information Department will provide the public of the details regarding the selected malls and other relevant data for mall voting once it has been finalized,” Comelec said in a statement Friday evening.“Through these efforts, voters from select clustered precincts of select barangays proximate to the partner malls shall participate in the mall voting,” it added.


In January, the Comelec said it will hold a pilot run of mall voting in five Metro Manila malls— SM Manila, Robinsons Manila, Robinsons Magnolia and two others. It cited the advantages of using malls as voting sites instead of classrooms, including security, prevention of sample ballots distribution, and the preservation of school equipment.",News,"June 9, 2023"
Comelec studying barangay polls postponement in Negros Oriental,"Public hearings will be conducted in Negros Oriental this month to see if there's a need to postpone the upcoming 2023 Barangay and Sangguniang Kabataan elections  in the light of the ""political violence"" in the province,  the Commission on Elections (Comelec) said Friday.In a statement, Comelec spokesperson Rex Laudiangco said this is to assess the current situation, particularly the peace and order status, and ""determine the sentiments of its constituents relative to the proposal to postpone the upcoming BSKE.""

During an earlier Senate inquiry into the killing of Negros Oriental Governor Roel Degamo, Senators Ronald ""Bato"" dela Rosa and Francis Tolentino asked the poll body to look into the possibility of holding off the elections amid the political violence in the province.",News,"June 9, 2023"
Comelec thumbs down Impact Hub's P15.3M claim due to lack of documents,"The Commission on Elections (Comelec) has denied the P15.3-million demand payment made by Impact Hub Manila, its official partner for the botched Eleksyon 2022 presidential and vice-presidential debates, due to lack of ""documentary requirements necessary to establish the validity of claim.""""Upon evaluation, Impact Hub's demand for payment is not accompanied by the documentary requirements necessary to establish the validity of claim,"" the Comelec said in a letter dated May 19, 2023 and signed by Executive Director Teofisto Elnas Jr.

""In this regard, the Commission is constrained to DENY Impact Hub's claim for P15,300,000,"" it added.",News,"May 23, 2023"
Impact Hub demands payment of P15M ‘debt’ from COMELEC despite botched debate in 2022,"Impact Hub Manila, the official partner of Commission on Elections (Comelec) for the Eleksyon 2022 presidential and vice-presidential debates, has made a “final demand” for the poll body to settle P15.3 million “unsettled liabilities” despite the cancellation of the third part of the debates.In a letter dated April 27, 2023, addressed to Comelec spokesperson Rex Laudiangco and signed by Impact Hub Manila’s lawyer, Ma. Karla Denise Frias, the debate contractor argued that even if the poll body “decided to unilaterally reschedule and eventually cancel the debates” the memorandum of agreement between the two parties still stands.

“Despite our client’s repeated demands, both verbally and via email, the claims remain unpaid. As such, please consider this as the FINAL DEMAND to coordinate and set a meeting with us to discuss the settlement of the outstanding balance,” the letter obtained by GMA News Online read.Impact Hub Manila warned that it will “avail legal remedies under the law to recover the debt and to protect the company’s interest” should Comelec fail to respond or to make a payment arrangement within the next five days upon the receipt of the notice.

Comelec Spokesperson Rex Laudiangco said the poll body’s Education and Information Department received a copy of the letter on May 8. But since he has no power or authority to act on it, the demand letter was referred to the Office of Comelec Chairman George Garcia, Executive Director Teofisto Elnas Jr., and their Law Department.",News,"May 15, 2023"
Sandro Marcos wants mail-in voting for elderly during state of calamity,"A bill allowing senior citizens, handicapped, sick as well as locally stranded individuals to cast their vote via mail during public health emergency or state of calamity has been filed in the House of Representatives.Senior Deputy Majority Leader Sandro Marcos of Ilocos Norte made the proposal under House Bill 8037 which tasks the Commission on Elections (Comelec) to adopt and implement a postal or mail-in voting system in times of public health emergencies or states of calamity for the benefit of senior citizens, the handicapped the sick and locally stranded individuals “who are duly registered voters and who, on election day, may not be able to vote due to high risk of infection or physical impossibility.”Marcos’ bill defines postal or mail-voting as a form of absentee voting in which a ballot is mailed to the home of a registered voter.

The recipient registered voter will then fill out the ballot and return it either by postal mail or drop it off in-person or by a representative into a secure drop box or at a voting center.",News,"May 15, 2023"
"Proposed automated election system for 2025 allows quick verification of ballots, ERs — Garcia","The Commission on Elections’ proposed automated election system (AES) for the 2025 polls will adopt mechanisms that will improve the transparency of the voting process in the country, Comelec Chairman George Garcia said Friday.Under Fully Automated System with Transparency Audit and Count (FASTrAC), Garcia said voters will be allowed to verify their votes through ballot images on automated counting machines while watchers and political camps will be allowed to take pictures of election returns after its transmission.

“Makikita ng botante ang balota na kanyang hinulog back and [front] yung mismong ballot image,” Garcia said in an interview  on Dobol B TV when asked about the new security features of the proposed AES.

For those who are visually impaired, Garcia said there is an audio feature where the machine can read the votes cast by the voter.

Apart from this, Garcia said citizens’ arms and political groups will automatically receive a copy of the election returns—a mechanism which he said was non-existent in the automated election system since it was implemented in 2010.",News,"May 5, 2023"
